AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
District of Columbia Public Schools,2024/05/16 04:00:00+00,61.51,AMAZON.COM*9T20S1M23,WA,BOOK STORES,2024/06/11 15:15:49+00,546547
District of Columbia Public Schools,2024/05/16 04:00:00+00,133.43,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546554
"Department of Insurance, Securities & Banking",2024/05/16 04:00:00+00,250.9,CHURCH PAPER INC,TN,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,546557
District of Columbia Public Schools,2024/05/16 04:00:00+00,32.49,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546561
District of Columbia Public Schools,2024/05/16 04:00:00+00,462.1,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546562
District of Columbia Public Schools,2024/05/16 04:00:00+00,4685.1,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546721
Office of the Chief Financial Officer,2024/05/16 04:00:00+00,45.42,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546754
District of Columbia Public Schools,2024/05/16 04:00:00+00,732.54,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546850
Fire & Emergency Medical Services,2024/05/16 04:00:00+00,1009.6,EAGLE ENGRAVING INC,IL,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546878
District of Columbia Public Schools,2024/05/16 04:00:00+00,646.84,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546892
Department of Health,2024/05/16 04:00:00+00,865,CSTE,GA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,547005
District of Columbia Public Schools,2024/05/16 04:00:00+00,180.87,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547024
District of Columbia Public Schools,2024/05/16 04:00:00+00,599.78,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547039
DC National Guard,2024/05/16 04:00:00+00,2024.17,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547190
District of Columbia Public Schools,2024/05/16 04:00:00+00,62.5,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547200
Office of the Mayor,2024/05/15 04:00:00+00,835,SQ *NATIONAL SERVICE C,DC,GENERAL CONTRACTORS-RESIDENTIAL BUILDINGS,2024/06/11 15:15:49+00,544947
District of Columbia Public Schools,2024/05/15 04:00:00+00,239.26,LINKEDIN ADS 964993703,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,544950
District of Columbia Public Schools,2024/05/15 04:00:00+00,502.75,INDEED 92715807,TX,EMPLOYMENT AGENCIES  TEMPORARY HELP SERVICES,2024/06/11 15:15:49+00,544951
District of Columbia Public Schools,2024/05/15 04:00:00+00,61.71,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544952
Department of Motor Vehicles,2024/05/15 04:00:00+00,25,SQ *CENTRAL SAFE AND L,DC,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544956
Fire & Emergency Medical Services,2024/05/15 04:00:00+00,473.99,ATLANTIC TRACTOR WALDO,MD,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544959
District of Columbia Public Schools,2024/05/15 04:00:00+00,2400,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545258
District of Columbia Public Schools,2024/05/15 04:00:00+00,159.99,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545259
Office of the Attorney General,2024/05/15 04:00:00+00,279,FILE & SERVEXPRESS  LL,TX,ATTORNEYS  LEGAL SERVICES,2024/06/11 15:15:49+00,545274
District of Columbia Public Schools,2024/05/15 04:00:00+00,1515.62,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545423
District of Columbia Public Schools,2024/05/15 04:00:00+00,1319.06,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545428
District of Columbia Public Schools,2024/05/15 04:00:00+00,-964.63,DISPUTE CREDIT,IL,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545573
Department of Health,2024/05/15 04:00:00+00,979.26,AC HOTEL PITTSBURGH,PA,MARRIOTT,2024/06/11 15:15:49+00,545592
Department of Health,2024/05/15 04:00:00+00,178.96,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,545594
District of Columbia Public Schools,2024/05/15 04:00:00+00,50.07,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545775
District of Columbia Public Schools,2024/05/15 04:00:00+00,17.97,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545906
District of Columbia Public Schools,2024/05/15 04:00:00+00,258.47,AMAZON MAR* 114-293119,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545914
Fire & Emergency Medical Services,2024/05/15 04:00:00+00,1295,H&H MACHINE CO INC,MD,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545930
District of Columbia Public Schools,2024/05/15 04:00:00+00,548.94,AMAZON.COM*GC1O28XK3,WA,BOOK STORES,2024/06/11 15:15:49+00,545931
District of Columbia Public Schools,2024/05/15 04:00:00+00,4991.7,"4IMPRINT, INC",WI,DIRECT MARKETING-OTHER DIRECT MARKETERS-NOT ELSEW.,2024/06/11 15:15:49+00,545932
District of Columbia Public Schools,2024/05/15 04:00:00+00,1220,INT*BACCALAUREATE ORG,CHE,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546053
District of Columbia Public Schools,2024/05/15 04:00:00+00,1220,INT*BACCALAUREATE ORG,CHE,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546054
District of Columbia Public Schools,2024/05/15 04:00:00+00,1220,INT*BACCALAUREATE ORG,CHE,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546055
District of Columbia Public Schools,2024/05/15 04:00:00+00,1220,INT*BACCALAUREATE ORG,CHE,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546056
Office of the Chief Medical Examiner,2024/05/15 04:00:00+00,75,PAYPAL,CA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,546077
District of Columbia Public Schools,2024/05/15 04:00:00+00,303.6,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546227
District of Columbia Public Schools,2024/05/15 04:00:00+00,172.94,OTC BRANDS  INC,NE,DIRECT MARKETING-CATALOG MERCHANTS,2024/06/11 15:15:49+00,546236
District of Columbia Public Schools,2024/05/15 04:00:00+00,50.97,FEDEX,TN,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,546386
District of Columbia Public Schools,2024/05/15 04:00:00+00,5.75,UBER   TRIP,CA,LIMOUSINES AND TAXICABS,2024/06/11 15:15:49+00,546387
District of Columbia Public Schools,2024/05/15 04:00:00+00,206.55,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546389
District of Columbia Public Schools,2024/05/15 04:00:00+00,225.57,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546390
District of Columbia Public Schools,2024/05/15 04:00:00+00,-159.5,PAYPAL,AZ,BANDS  ORCHESTRAS  + MISC ENTRTNRS-NOT ELSWHR CLAS,2024/06/11 15:15:49+00,546393
District of Columbia Public Schools,2024/05/15 04:00:00+00,133.28,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546398
District of Columbia Public Schools,2024/05/15 04:00:00+00,756.71,AMAZON MARKETPLAC* 507,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546400
District of Columbia Public Schools,2024/05/15 04:00:00+00,1270.94,PROJECT MGMT INSTITUTE,PA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546401
District of Columbia Public Schools,2024/05/15 04:00:00+00,90.56,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546538
District of Columbia Public Schools,2024/05/15 04:00:00+00,-2.4,SCUBA.COM,NY,SPORTING GOODS STORES,2024/06/11 15:15:49+00,546541
Office of the Attorney General,2024/05/15 04:00:00+00,1595.37,WESTIN COPLEY PLACE,MA,WESTIN,2024/06/11 15:15:49+00,546542
Office of the Attorney General,2024/05/15 04:00:00+00,1595.37,WESTIN COPLEY PLACE,MA,WESTIN,2024/06/11 15:15:49+00,546543
Office of the Attorney General,2024/05/15 04:00:00+00,1595.37,WESTIN COPLEY PLACE,MA,WESTIN,2024/06/11 15:15:49+00,546544
District of Columbia Public Schools,2024/05/15 04:00:00+00,50.1,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546545
District of Columbia Public Schools,2024/05/15 04:00:00+00,19.93,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546546
Department of Education,2024/05/15 04:00:00+00,1083.75,IN *SEABERRY DESIGN &,CA,ADVERTISING SERVICES,2024/06/11 15:15:49+00,546549
Department of Education,2024/05/15 04:00:00+00,587.2,DELTA,GA,DELTA,2024/06/11 15:15:49+00,546550
District of Columbia Public Schools,2024/05/15 04:00:00+00,113.65,STAPLES       00115592,MD,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546553
District of Columbia Public Schools,2024/05/15 04:00:00+00,1420.22,CUSTOMINK LLC,VA,MENS AND WOMENS CLOTHING STORES,2024/06/11 15:15:49+00,546555
District of Columbia Public Schools,2024/05/15 04:00:00+00,1690,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,546556
District of Columbia Public Schools,2024/05/15 04:00:00+00,2970,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546558
District of Columbia Public Schools,2024/05/15 04:00:00+00,1524.4,BARON TOURS,MD,TRANSPRTN-SUBRBN + LOCAL COMTR PSNGR  INCL FERRIES,2024/06/11 15:15:49+00,546559
Office of the Mayor,2024/05/15 04:00:00+00,5000,WHUR,DC,COLLEGES  UNIV  PRO SCHOOLS  JUNIOR COLLEGES,2024/06/11 15:15:49+00,546694
District of Columbia Public Schools,2024/05/15 04:00:00+00,68.05,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546696
District of Columbia Public Schools,2024/05/15 04:00:00+00,851.81,BIL*EPIPHANY EDUCATION,DE,ACCOUNTING  AUDITING AND BOOKKEEPING SERVICES,2024/06/11 15:15:49+00,546697
District of Columbia Public Schools,2024/05/15 04:00:00+00,1239.8,ARC TRAINING SERVICES,DC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,546699
Fire & Emergency Medical Services,2024/05/15 04:00:00+00,1199.98,FROGGY'S FOG,TN,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546700
District Department of the Environment,2024/05/15 04:00:00+00,179.99,PETCO 2878,DC,PET SHOPS - PET FOODS AND SUPPLIES,2024/06/11 15:15:49+00,546714
Fire & Emergency Medical Services,2024/05/15 04:00:00+00,400,IN *EXECUTIVE CONTRACT,DC,GENERAL CONTRACTORS-RESIDENTIAL BUILDINGS,2024/06/11 15:15:49+00,546718
Fire & Emergency Medical Services,2024/05/15 04:00:00+00,252.38,IN *SCHEFFRES LAUNDRY,MD,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546847
District of Columbia Public Schools,2024/05/15 04:00:00+00,2377.22,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,546851
District of Columbia Public Schools,2024/05/15 04:00:00+00,402.35,LAKESHORE LEARNING MAT,CA,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546854
District of Columbia Public Schools,2024/05/15 04:00:00+00,399.99,SP JASPERTRONICS,MO,ELECTRONIC SALES,2024/06/11 15:15:49+00,546857
District of Columbia Public Schools,2024/05/15 04:00:00+00,4969.82,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546858
District of Columbia Public Schools,2024/05/15 04:00:00+00,1551.25,MYPROJECTORLAMPS.COM,FL,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546859
Fire & Emergency Medical Services,2024/05/15 04:00:00+00,1278.58,GRAVOTECH INC.,GA,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546860
District of Columbia Public Schools,2024/05/15 04:00:00+00,4964.52,IN *BRISCOE & WOODS SE,CA,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546863
District of Columbia Public Schools,2024/05/15 04:00:00+00,1040,NASSP PRODUCT & SERVIC,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546864
District of Columbia Public Schools,2024/05/15 04:00:00+00,50,IN *DEADWYLER TRANSPOR,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546866
District of Columbia Public Schools,2024/05/15 04:00:00+00,958.6,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546882
Department of Health,2024/05/15 04:00:00+00,2750.17,VISTAPRINT,MA,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,547004
DC National Guard,2024/05/15 04:00:00+00,200,SQ *21 FLAVAS ENTERTAI,DC,BANDS  ORCHESTRAS  + MISC ENTRTNRS-NOT ELSWHR CLAS,2024/06/11 15:15:49+00,547008
District Department of the Environment,2024/05/15 04:00:00+00,39.05,"IN *SUPRETECH, INC.",CA,COMPUTERS  COMPUTER PERIPHERAL EQUIPMENT  SOFTWARE,2024/06/11 15:15:49+00,547016
DC National Guard,2024/05/15 04:00:00+00,3960,"SQ *MPSERVICES DC, LLC",MD,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547160
Office of the Chief Medical Examiner,2024/05/15 04:00:00+00,75,PAYPAL,CA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,547165
Office of the Chief Medical Examiner,2024/05/15 04:00:00+00,75,PAYPAL,CA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,547166
Office of the Chief Medical Examiner,2024/05/15 04:00:00+00,75,PAYPAL,CA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,547167
Office of the Chief Medical Examiner,2024/05/15 04:00:00+00,75,PAYPAL,CA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,547168
Office of the Chief Medical Examiner,2024/05/15 04:00:00+00,75,PAYPAL,CA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,547169
Office of the Chief Medical Examiner,2024/05/15 04:00:00+00,75,PAYPAL,CA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,547170
Office of the Chief Medical Examiner,2024/05/15 04:00:00+00,75,PAYPAL,CA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,547171
District of Columbia Public Schools,2024/05/15 04:00:00+00,525,IN *MILES AWAY CHARTER,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547172
Department of Health,2024/05/15 04:00:00+00,800,IN *NAPHSIS,MD,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,547174
Department of Health,2024/05/15 04:00:00+00,100,IN *NAPHSIS,MD,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,547175
District of Columbia Public Schools,2024/05/15 04:00:00+00,539.76,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,547177
District of Columbia Public Schools,2024/05/15 04:00:00+00,29.1,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547179
District of Columbia Public Schools,2024/05/14 04:00:00+00,550,INT*BACCALAUREATE ORG,CHE,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544927
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,1095.97,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544930
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,1040,NATIONAL REGISTRY EMT,OH,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,544937
District of Columbia Public Schools,2024/05/14 04:00:00+00,1752.91,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544941
District of Columbia Public Schools,2024/05/14 04:00:00+00,430,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544943
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,-9.99,TRACTOR SUPPLY #777,MD,MISC-AUTO-AIRCRAFT-FARM EQUIP  NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,544944
District of Columbia Public Schools,2024/05/14 04:00:00+00,2500,THE DARCY,DC,LODGING-HOTELS MOTELS RESORTS-NOT CLASSIFIED,2024/06/11 15:15:49+00,544946
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,2223.17,ULINE,WI,DIRECT MARKETING-CATALOG MERCHANTS,2024/06/11 15:15:49+00,545074
"Department of Insurance, Securities & Banking",2024/05/14 04:00:00+00,995,WKF*WK FINANCIAL SRVS,MN,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545082
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,1880.97,AMAZON.COM*UU4Q99WL3,WA,BOOK STORES,2024/06/11 15:15:49+00,545095
District of Columbia Public Schools,2024/05/14 04:00:00+00,96.24,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545234
District of Columbia Public Schools,2024/05/14 04:00:00+00,662.5,FREED PHOTOGRAPHY,MD,PHOTOGRAPHIC STUDIOS,2024/06/11 15:15:49+00,545235
District of Columbia Public Schools,2024/05/14 04:00:00+00,817,CORSAIR CREATIVE,DC,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,545248
District of Columbia Public Schools,2024/05/14 04:00:00+00,3565.36,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545378
District of Columbia Public Schools,2024/05/14 04:00:00+00,68.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545379
DC Public Library,2024/05/14 04:00:00+00,294,PAYPAL,CA,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,545408
DC Public Library,2024/05/14 04:00:00+00,84,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545409
DC Public Library,2024/05/14 04:00:00+00,740,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545410
District of Columbia Public Schools,2024/05/14 04:00:00+00,825,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545572
District of Columbia Public Schools,2024/05/14 04:00:00+00,4425,NAEH,DC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545575
Department of Health,2024/05/14 04:00:00+00,613.74,UPTODATE SUBSCRIPTION,MA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,545577
District of Columbia Public Schools,2024/05/14 04:00:00+00,2500,SQ *DRAMATIC SOLUTIONS,DC,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,545580
District of Columbia Public Schools,2024/05/14 04:00:00+00,2499,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545588
Office of the Attorney General,2024/05/14 04:00:00+00,1073.5,KW COURT REPORTING,CA,ATTORNEYS  LEGAL SERVICES,2024/06/11 15:15:49+00,545599
District of Columbia Public Schools,2024/05/14 04:00:00+00,310,LOGOWEAR HOUSE,PA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545601
District of Columbia Public Schools,2024/05/14 04:00:00+00,186.88,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545602
District of Columbia Public Schools,2024/05/14 04:00:00+00,1301.43,THE CALVIN PRICE GROUP,MD,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545604
District of Columbia Public Schools,2024/05/14 04:00:00+00,1520.64,THE CALVIN PRICE GROUP,MD,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545605
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,99.99,AMAZON.COM*JJ1JA1YO3,WA,BOOK STORES,2024/06/11 15:15:49+00,545724
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,-383.08,AMAZON.COM,WA,BOOK STORES,2024/06/11 15:15:49+00,545725
District of Columbia Public Schools,2024/05/14 04:00:00+00,43,AMAZON.COM*NB9TR5QE3,WA,BOOK STORES,2024/06/11 15:15:49+00,545726
District of Columbia Public Schools,2024/05/14 04:00:00+00,79.49,GOOGLE *CAMEO,CA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,545727
Department of Small & Local Business Development,2024/05/14 04:00:00+00,24.94,FEDEX,TN,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545728
Department of Small & Local Business Development,2024/05/14 04:00:00+00,12,TWPSUB55672267,DC,BOOKS PERIODICALS AND NEWSPAPERS,2024/06/11 15:15:49+00,545729
District of Columbia Public Schools,2024/05/14 04:00:00+00,73.24,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545730
District of Columbia Public Schools,2024/05/14 04:00:00+00,-2.57,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545734
District of Columbia Public Schools,2024/05/14 04:00:00+00,-3.47,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545735
District of Columbia Public Schools,2024/05/14 04:00:00+00,-0.43,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545736
DC National Guard,2024/05/14 04:00:00+00,4699.31,S FREEDMAN AND SONS -,MD,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545741
DC National Guard,2024/05/14 04:00:00+00,2240.06,S&H TRUCKING & CONTRAC,DC,OFFICE AND COMMERCIAL FURNITURE,2024/06/11 15:15:49+00,545742
District of Columbia Public Schools,2024/05/14 04:00:00+00,518.83,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545744
District of Columbia Public Schools,2024/05/14 04:00:00+00,25.95,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545745
District of Columbia Public Schools,2024/05/14 04:00:00+00,36.94,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545746
Department of Health,2024/05/14 04:00:00+00,950.52,WESTIN PEACHTREE PLAZA,GA,WESTIN,2024/06/11 15:15:49+00,545761
Department of Health,2024/05/14 04:00:00+00,2420,RIO@RIOHOLADAY.COM,CA,GIFT  CARD  NOVELTY AND SOUVENIR SHOPS,2024/06/11 15:15:49+00,545762
District of Columbia Public Schools,2024/05/14 04:00:00+00,840,IN *DEADWYLER TRANSPOR,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545764
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,274.99,IN *UPCO LOCK SERVICES,CA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545767
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,389.98,IN *UPCO LOCK SERVICES,CA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545768
District of Columbia Public Schools,2024/05/14 04:00:00+00,1181.02,SOCIAL STUDIES SCHOOL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545776
District Department of Transportation,2024/05/14 04:00:00+00,-44.1,CPI*COLEPARMERINSTRUMT,IL,DENTAL-LAB-MED-OPHTHALMIC HOSP EQUIP + SUPPLIES,2024/06/11 15:15:49+00,545777
District of Columbia Public Schools,2024/05/14 04:00:00+00,470,LEGO DISCOVERY CENTER,DE,THEATRICAL PRODUCERS(EXCL MOTION PIX) TICKET AGNCY,2024/06/11 15:15:49+00,545778
District of Columbia Public Schools,2024/05/14 04:00:00+00,179,SMORE.COM,PA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,545780
District of Columbia Public Schools,2024/05/14 04:00:00+00,3101.09,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545798
Office of the Chief Financial Officer,2024/05/14 04:00:00+00,945,ACFE,TX,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545893
Office of the Chief Financial Officer,2024/05/14 04:00:00+00,945,ACFE,TX,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545894
